Array,layer_thick,orientation,infill_pattern,infill_density,mwcnt,graphene,tensile_str,flexural_str
L19,0.39,Flat,Honeycomb,70,1.5,0,20.93,25.32
L20,0.39,Flat,Honeycomb,70,1.5,0,19.6,25.43
L21,0.39,Flat,Honeycomb,70,1.5,0,19.95,26.45
L22,0.39,On Long Edge,Linear,90,1.5,0,23.33,37.17
L23,0.39,On Long Edge,Linear,90,1.5,0,23.54,40.98
L24,0.39,On Long Edge,Linear,90,1.5,0,23.52,41.41
L25,0.39,On Short Edge,Grid,50,1.5,0,12.1,14.35
L26,0.39,On Short Edge,Grid,50,1.5,0,14.01,17.11
L27,0.39,On Short Edge,Grid,50,1.5,0,12.41,16.09
L1,0.19,Flat,Linear,50,0,0.5,22.61,33.19
L2,0.19,Flat,Linear,50,0,0.5,22.67,37
L3,0.19,Flat,Linear,50,0,0.5,22.25,36.23
L4,0.19,On Long Edge,Grid,70,0,0.5,40.63,52.29
L5,0.19,On Long Edge,Grid,70,0,0.5,39.39,52.16
L6,0.19,On Long Edge,Grid,70,0,0.5,39.78,53.07
L7,0.19,On Short Edge,Honeycomb,90,0,0.5,7.78,42.63
L8,0.19,On Short Edge,Honeycomb,90,0,0.5,9.88,44.17
L9,0.19,On Short Edge,Honeycomb,90,0,0.5,10.9,45.55
L10,0.29,Flat,Grid,90,0,0.5,27.62,39.08
L11,0.29,Flat,Grid,90,0,0.5,26.33,38.53
L12,0.29,Flat,Grid,90,0,0.5,26.64,40.85
L13,0.29,On Long Edge,Honeycomb,50,0,0.5,25.38,35.58
L14,0.29,On Long Edge,Honeycomb,50,0,0.5,24.2,37.53
L15,0.29,On Long Edge,Honeycomb,50,0,0.5,24.07,36.12
L16,0.29,On Short Edge,Linear,70,0,0.5,7.03,38.57
L17,0.29,On Short Edge,Linear,70,0,0.5,8.67,36.51
L18,0.29,On Short Edge,Linear,70,0,0.5,6.84,37.09
L19,0.39,Flat,Honeycomb,70,0,0.5,27.18,42.33
L20,0.39,Flat,Honeycomb,70,0,0.5,28.59,40.69
L21,0.39,Flat,Honeycomb,70,0,0.5,26.71,40.22
L22,0.39,On Long Edge,Linear,90,0,0.5,31.78,47.05
L23,0.39,On Long Edge,Linear,90,0,0.5,27.97,45.84
L24,0.39,On Long Edge,Linear,90,0,0.5,30.3,46.33
L25,0.39,On Short Edge,Grid,50,0,0.5,4.98,21.97
L26,0.39,On Short Edge,Grid,50,0,0.5,6.49,22.02
L27,0.39,On Short Edge,Grid,50,0,0.5,4.25,21.71
L1,0.19,Flat,Linear,50,0,1,20.71,38.21
L2,0.19,Flat,Linear,50,0,1,16.62,35.27
L3,0.19,Flat,Linear,50,0,1,21.63,36.95
L4,0.19,On Long Edge,Grid,70,0,1,36.76,46.72
L5,0.19,On Long Edge,Grid,70,0,1,40.06,48.06
L6,0.19,On Long Edge,Grid,70,0,1,37.88,47.14
L7,0.19,On Short Edge,Honeycomb,90,0,1,10.66,37.56
L8,0.19,On Short Edge,Honeycomb,90,0,1,9.26,38.62
L9,0.19,On Short Edge,Honeycomb,90,0,1,11.45,37.74
L10,0.29,Flat,Grid,90,0,1,24.47,41.39
L11,0.29,Flat,Grid,90,0,1,25.18,41.44
L12,0.29,Flat,Grid,90,0,1,25.91,42.61
L13,0.29,On Long Edge,Honeycomb,50,0,1,23.05,37.88
L14,0.29,On Long Edge,Honeycomb,50,0,1,21.96,38.21
L15,0.29,On Long Edge,Honeycomb,50,0,1,22.61,38.9
L16,0.29,On Short Edge,Linear,70,0,1,6.17,32.49
L17,0.29,On Short Edge,Linear,70,0,1,10.04,32.03
L18,0.29,On Short Edge,Linear,70,0,1,5.45,30.84
L19,0.39,Flat,Honeycomb,70,0,1,25.84,33.6
L20,0.39,Flat,Honeycomb,70,0,1,26.81,30.1
L21,0.39,Flat,Honeycomb,70,0,1,26.63,33.53
L22,0.39,On Long Edge,Linear,90,0,1,28.54,48.19
L23,0.39,On Long Edge,Linear,90,0,1,28.78,45.79
L24,0.39,On Long Edge,Linear,90,0,1,29.81,46.46
L25,0.39,On Short Edge,Grid,50,0,1,5.58,18.5
L26,0.39,On Short Edge,Grid,50,0,1,4.8,14.95
L27,0.39,On Short Edge,Grid,50,0,1,5.47,16.58
L1,0.19,Flat,Linear,50,0,1.5,17.57,37.9
L2,0.19,Flat,Linear,50,0,1.5,21.93,37.07
L3,0.19,Flat,Linear,50,0,1.5,20.97,38.85
L4,0.19,On Long Edge,Grid,70,0,1.5,40.36,59.63
L5,0.19,On Long Edge,Grid,70,0,1.5,39.73,55.3
L6,0.19,On Long Edge,Grid,70,0,1.5,38.5,55.15
L7,0.19,On Short Edge,Honeycomb,90,0,1.5,7.5,35.2
L8,0.19,On Short Edge,Honeycomb,90,0,1.5,7.11,29.66
L9,0.19,On Short Edge,Honeycomb,90,0,1.5,7.9,32.18
L10,0.29,Flat,Grid,90,0,1.5,26.11,37.05
L11,0.29,Flat,Grid,90,0,1.5,26.31,37.68
L12,0.29,Flat,Grid,90,0,1.5,26.53,38.33
L13,0.29,On Long Edge,Honeycomb,50,0,1.5,23.84,41.97
L14,0.29,On Long Edge,Honeycomb,50,0,1.5,23.57,41.4
L15,0.29,On Long Edge,Honeycomb,50,0,1.5,24.12,41.44
L16,0.29,On Short Edge,Linear,70,0,1.5,6.06,30.1
L17,0.29,On Short Edge,Linear,70,0,1.5,5.14,29.13
L18,0.29,On Short Edge,Linear,70,0,1.5,5.56,28.91
L19,0.39,Flat,Honeycomb,70,0,1.5,27.55,30.61
L20,0.39,Flat,Honeycomb,70,0,1.5,27.23,31.29
L21,0.39,Flat,Honeycomb,70,0,1.5,28.24,31.36
L22,0.39,On Long Edge,Linear,90,0,1.5,31.44,44.04
L23,0.39,On Long Edge,Linear,90,0,1.5,26.8,47.87
L24,0.39,On Long Edge,Linear,90,0,1.5,28.24,45.06
L25,0.39,On Short Edge,Grid,50,0,1.5,3.65,24.56
L26,0.39,On Short Edge,Grid,50,0,1.5,3.99,23.87
L27,0.39,On Short Edge,Grid,50,0,1.5,2.99,22.92
